Seq #,LifeCycle Stage/Level,Pillar,Ai Prompts - P5 Building Block Sequence,Document Title,LLM,Tools
53,Seed 1.4,Marketing,"Compile a Sales Strategy Resources document, structured with headings for inventory, gaps, and implementation. Begin with an Introduction highlighting the importance of resources in sales success. Create a Resource Inventory to catalog current tools and materials. Identify Resource Gaps that may impede strategy execution. Detail Required Resources to address these gaps. Outline an Acquisition Plan for obtaining necessary resources. Discuss Implementation and Training for effective resource integration. Finish with Measurement and Adjustment for continuous improvement. This document should provide a clear plan for optimizing resource allocation to support the sales strategy, designed for actionable insights and team enablement.",Sales Strategy Resources,chat gpt,
54,Seed 1.4,Infrastructure,"Create a Business Positioning document, organized with sections for current market position, strategy, and evaluation. Start with an Introduction to discuss positioning's importance. Analyze the Current Market Position for context. Define the Target Market for clarity on customer focus. Develop a Positioning Strategy to enhance market standing. Articulate the Unique Selling Proposition (USP) to distinguish the business. Propose an Implementation Plan for strategic execution. Conclude with Measurement and Evaluation for strategy success assessment. This document should outline a comprehensive approach to refining the business’s market position, designed for competitive advantage and customer engagement.",Business Positioning,chat gpt,
55,Seed 1.4,Marketing,"Draft a final Competitive Analysis document, formatted with sections for competitor profiles, strategic recommendations, and an action plan. Begin with an Introduction to highlight the analysis's strategic importance. Describe the Methodology for comprehensive competitor evaluation. Present detailed Competitor Profiles for insights into market dynamics. Analyze Market Trends and Opportunities for potential advantages. Offer Strategic Recommendations for competitive positioning. Detail an Action Plan for implementing strategies. Conclude with Monitoring and Review for adaptive competitive strategy. This document aims to provide a thorough analysis of the competitive landscape, designed for strategic agility and market responsiveness.",Competitive Analysis (final),chat gpt,
56,Seed 1.4,Marketing,"Create a document on New Marketing Opportunities, structured with sections on market trends, emerging channels, and evaluation plan. Begin with an Introduction to stress the significance of exploring new marketing avenues. Conduct a Market Trends Analysis to identify growth opportunities. Highlight Emerging Channels for untapped potential. Discuss Technological Advancements that can be leveraged for marketing. Consider Partnership Opportunities for collaborative ventures. Outline Implementation Considerations for strategic planning. Conclude with an Evaluation Plan for measuring the impact of these initiatives. This document aims to guide the exploration and adoption of new marketing opportunities, designed for strategic expansion and innovation.",New Marketing Opportunities,chat gpt,
57,Seed 1.4,Marketing,"Draft a Marketing Strategy - Overview document, organized with sections for strategic objectives, budget, and success metrics. Begin with an Introduction outlining the strategy's alignment with business goals. Summarize Market Analysis for contextual background. Define the Target Market for focused efforts. List Strategic Objectives to guide marketing direction. Present an Overview of Key Marketing Initiatives for achieving objectives. Provide a Budget Overview to ensure financial planning. Detail Success Metrics for evaluating strategy effectiveness. This document should serve as a concise blueprint of the marketing strategy, designed for clarity, alignment, and measurable outcomes.",Marketing Strategy - Overview,chat gpt,
58,Seed 1.4,Marketing,"Compose a Sales Team Action Plan document, formatted with headings for objectives, strategies, and performance metrics. Begin with an Introduction to contextualize the plan’s importance. Specify Sales Objectives with measurable targets. Outline Key Strategies for achieving these objectives. Assign Roles and Responsibilities to ensure team clarity. Highlight Training and Resources needed for team proficiency. Detail a Timeline for strategic execution. Define Performance Metrics for monitoring success. This document aims to provide a structured roadmap for the sales team, designed for targeted action, accountability, and measurable success.",Sales Team Action Plan,chat gpt,
59,Seed 1.4,Marketing,"Develop a Sales Targets document, structured with sections for annual targets, individual/team targets, and adjustment strategies. Start with an Introduction to emphasize targets' role in motivating performance. Detail Annual Sales Targets with breakdowns by time periods. Specify Individual and Team Targets for focused accountability. List Key Product/Service Targets to direct sales efforts. Describe Incentives and Rewards for motivation. Explain Tracking and Reporting procedures for performance assessment. Conclude with Adjustment Strategies for flexibility in goal-setting. This document should serve as a comprehensive guide for setting and managing sales targets, designed for clarity, motivation, and adaptability.",Sales Targets,chat gpt,
60,Seed 1.4,Finance,"Create a document detailing the Projected Sales Initiative Budget, with sections for budget overview, ROI projections, and monitoring. Begin with an Introduction to outline the budget’s importance. Provide a Budget Overview for a high-level financial perspective. Break down Initiative-specific Budgets with detailed allocations. Estimate ROI Projections for financial justification. Describe the Budget Adjustment Process for fiscal management. Detail Monitoring and Reporting mechanisms for financial oversight. This document aims to ensure strategic allocation and management of resources for sales initiatives, designed for financial accountability and strategic alignment.",Projected Sales Initiative Budget,chat gpt,
61,Seed 1.4,Finance,"Draft a Sales Plan document, structured with clear headings for each critical component, including sales objectives, strategies, and performance metrics. Begin with an Introduction to outline the plan's strategic importance. Define Sales Objectives with specific targets. Analyze Target Market and Customer Segmentation for precision in sales efforts. Describe Sales Strategies and Tactics to be implemented. Detail the Team Structure and Roles for operational clarity. List Tools and Resources needed for execution. Specify Performance Metrics and KPIs for success measurement. Provide a Budget for financial planning. Conclude with a Review and Adjustment Process for ongoing optimization. This document should serve as a comprehensive guide to executing the sales strategy, designed for accountability, effectiveness, and adaptability.",Sales Plan,chat gpt,
62,Seed 1.4,Marketing,"Create a Sales Funnel Strategy/Map document, organized with headings for funnel stages, target audience, and optimization. Begin with an Introduction to highlight the funnel's strategic value. Detail Funnel Stages with objectives and activities. Define the Target Audience at Each Stage for targeted engagement. Outline Conversion Strategies for effective progression through the funnel. Describe Tools and Technologies supporting the strategy. Establish Performance Measurement criteria for funnel efficiency. Conclude with Optimization and Testing methods for continual improvement. This document aims to provide a strategic framework for managing and optimizing the sales funnel, designed for conversion enhancement and customer journey clarity.",Sales Funnel Strategy/Map,chat gpt,
63,Seed 1.4,Marketing,"Draft a document outlining Sales Funnel Assets, with distinct sections for ToFu, MoFu, BoFu assets, and their management. Begin with an Introduction to the concept of funnel assets. Categorize assets into Top of Funnel (ToFu) Assets for awareness, Middle of Funnel (MoFu) Assets for engagement, and Bottom of Funnel (BoFu) Assets for conversion. Discuss Asset Management and Distribution to ensure effective use. Implement Measurement and Optimization for continual performance improvement. This document aims to detail the critical assets required at each sales funnel stage, designed for strategic engagement and conversion optimization.",Sales Funnel Assets,chat gpt,
64,Seed 1.4,Marketing,"Create a final version of a One-Page Business Plan, incorporating concise sections for business overview, market analysis, and financial summary. Begin with an engaging Introduction to capture the essence of the business. Provide a clear Business Overview, including the mission and vision. Summarize the Products and Services offered. Conduct a brief Market Analysis for competitive positioning. Outline a strategic Marketing and Sales Strategy. Describe the Operations Plan for efficiency. Offer a succinct Financial Summary and Goals and Milestones for future growth. Conclude with a persuasive Conclusion that highlights the business's value and potential. This document aims to present a comprehensive yet concise business plan, designed for easy understanding and impactful presentation.",One Page Business Plan (final),chat gpt,System.io/Groove.ai
65,Seed 1.4,Infrastructure,"Produce a Go-To-Market Strategy document, formatted with sections for market analysis, product offering, and launch plan. Begin with an Introduction to define the strategy's purpose. Conduct a Market Analysis for strategic insight. Detail the Product/Service Offering and its market fit. Articulate a compelling Value Proposition. Choose Sales and Distribution Channels for market penetration. Plan Marketing and Promotion activities for visibility. Set a Pricing Strategy to match market expectations. Outline a Launch Plan with key milestones. Establish Success Metrics for evaluating effectiveness. This document should serve as a comprehensive blueprint for introducing products or services to the market, designed for impact, clarity, and measurable success.",Go-To-Market Strategy,chat gpt,
66,Seed 1.5,Management,"Develop a document focusing on an Initial Launch - Single Buyer Persona, with detailed sections on buyer persona profile, product alignment, and launch activities. Start with an Introduction explaining the focus on a single persona. Create a Buyer Persona Profile for targeted marketing. Show Product/Service Alignment to meet persona needs. Determine Marketing Message and Channels for effective communication. Design a Sales Strategy for this persona. Plan specific Launch Activities aimed at engagement. Conclude with Measurement and Feedback for launch evaluation. This document aims to provide a targeted approach for a product launch, ensuring precision in messaging and strategy for maximum impact.",Initial Launch - Single Buyer Persona,chat gpt,
67,Seed 1.5,Marketing,"Draft a final Market Research document, structured with sections for methodology, key findings, and recommendations. Start with an Introduction to establish the research's goals. Describe the Research Methodology used for comprehensive analysis. Highlight Key Findings with implications for the business. Segment the market with detailed Market Segmentation. Provide Customer Insights for targeted strategy development. Offer Recommendations for actionable strategies. Conclude with an Action Plan for implementation. This document aims to deliver strategic insights from market research, designed for informed decision-making and strategic planning.",Market Research (final),chat gpt,
68,Seed 1.5,Marketing,"Create an Organic Marketing Strategy document, with detailed sections for content marketing, SEO, and performance measurement. Begin with an Introduction highlighting organic marketing's role. Develop a Content Marketing plan for audience engagement. Outline an SEO Strategy for enhanced online visibility. Plan Social Media Engagement tactics for brand interaction. Implement Email Marketing for lead nurturing. Describe Influencer Collaborations for authentic reach. Conclude with Performance Measurement for strategic evaluation. This document aims to outline a comprehensive approach to organic marketing, designed for sustainable growth and brand loyalty.",Organic Marketing,chat gpt,
69,Seed 1.5,Marketing,"Draft a Media Outlet Strategy document, formatted with sections for target media outlets, outreach strategy, and monitoring. Start with an Introduction explaining the strategy's significance. List Target Media Outlets for focused engagement. Develop an Outreach Strategy for effective communication. Prepare a Content Plan tailored for media collaboration. Include Monitoring and Evaluation for strategic insights. Address Crisis Management for proactive issue resolution. This document should serve as a roadmap for leveraging media outlets to enhance brand visibility and credibility, designed for strategic communication and brand enhancement.",Media Outlet Strategy,chat gpt,
70,Seed 1.5,Marketing,"Create a 5 Channels Strategy document, organized with clear sections for channel selection, detailed strategies, and performance tracking. Begin with an Introduction to the strategy's rationale. Establish Channel Selection Criteria for informed decision-making. Detail Detailed Channel Strategies for each chosen channel, outlining comprehensive plans. Discuss Integration and Synergy for cohesive marketing efforts. Outline Budget Allocation for efficient resource distribution. Conclude with Performance Tracking and Optimization for adaptive strategy refinement. This document aims to guide the focused use of five key channels for marketing and sales, designed for strategic impact and efficiency.",5 Channels,chat gpt,
71,Seed 1.5,Marketing,"Draft a Social Media Marketing Plan document, structured with sections for platform strategy, content calendar, and measurement. Begin with an Introduction to highlight the plan's purpose. Outline Social Media Goals for clear objectives. Detail the Target Audience for tailored engagement. Describe the Platform Strategy for each selected platform. Include a Content Calendar for planning posts. Develop an Engagement Strategy for audience interaction. Plan Promotional Campaigns for increased visibility. Conclude with Measurement and Analysis for performance evaluation. This document aims to provide a comprehensive approach to social media marketing, designed for strategic engagement and measurable success.",Social Media Marketing Plan,chat gpt,
72,Seed 1.5,Marketing,"Create a Marketing Funnel Strategy/Map document, organized with detailed stages, content tactics, and optimization plan. Start with an Introduction explaining the funnel's significance. Detail Funnel Stages Description for a clear journey overview. Define Target Actions at Each Stage for audience guidance. Describe Content and Tactics tailored for each funnel stage. List Tools and Technologies supporting the strategy. Establish Performance Measurement for tracking success. Conclude with an Optimization Plan for iterative improvements. This document aims to outline a strategic approach to navigating the marketing funnel, designed for effective audience progression and measurable outcomes.",Marketing Funnel Strategy/Map,chat gpt,
73,Seed 1.5,Marketing,"Draft a Marketing Assets document, formatted with sections for asset types, management, and performance tracking. Begin with an Introduction to emphasize asset importance. Categorize Asset Types by their marketing funnel application. Outline Asset Management strategies for efficient use. Describe the Content Creation Process for developing new assets. Implement Usage Guidelines to maintain brand consistency. Establish Performance Tracking for effectiveness assessment. Conclude with a Review and Update Cycle for ongoing asset optimization. This document aims to provide a comprehensive framework for managing marketing assets, designed for strategic utilization and continuous improvement.",Marketing Assets,chat gpt,
74,Seed 1.5,Marketing,"Create a Lead Magnet document, structured with sections for objectives, target audience, and promotion strategy. Begin with an Introduction to explain the lead magnet's role. Define Lead Magnet Objectives for clear aims. Identify the Target Audience for precision targeting. Generate a list of Lead Magnet Ideas tailored for audience appeal. Outline the Creation and Delivery process for efficient production. Develop a Promotion Strategy for maximum exposure. Conclude with Measurement and Optimization for effectiveness assessment. This document aims to guide the development and use of lead magnets, designed for lead generation efficiency and strategic alignment.",Lead Magnet,chat gpt,
75,Seed 1.5,Marketing,"Produce a Nurture Sequence document, structured with sections for audience segmentation, content plan, and measurement. Begin with an Introduction to highlight the nurture sequence's strategic value. Define Nurture Sequence Objectives for targeted outcomes. Detail Audience Segmentation for personalized communication. Develop a comprehensive Content Plan for each email stage. Establish Timing and Frequency to balance engagement and outreach. Describe Technology and Tools supporting automation. Conclude with Measurement and Adjustment for ongoing optimization. This document aims to outline an effective nurture sequence strategy, designed for lead engagement and conversion enhancement.",Nurture Sequence,chat gpt,
76,Seed 1.5,Marketing,"Create a Social Media Posts (30-days) document, with detailed sections for content themes, calendar, and engagement strategy. Start with an Introduction explaining the 30-day posting plan's purpose. Outline Content Themes to ensure variety. Develop a Content Calendar for daily planning. Describe Post Types for platform-specific strategies. Detail an Engagement Strategy for interactive communication. Include Promotional Posts for marketing objectives. Conclude with Measurement and Review for performance analysis. This document aims to guide a comprehensive 30-day social media strategy, designed for consistent engagement and brand visibility.",Social Media Posts (90-days),chat gpt,
77,Seed 1.5,Marketing,"Create a comprehensive ""30-Day Content Calendar"" document that lays out a strategic blueprint for daily social media engagement. The document should start with an introduction highlighting the crucial role of proactive content planning. Follow with a content strategy overview detailing goals, target audience, and key messaging. Include a section on calendar details, providing a date, content type, theme/topic, platform, and a succinct draft post for each day, ensuring a rich mix of content types. Assign clear roles and responsibilities for content management, integrate the calendar with other marketing initiatives for cohesive messaging, and outline a process for monitoring content performance and making strategy adjustments. Conclude with a summary of the calendar's strategic value. This document should serve as a detailed guide for creating and managing engaging content, aligned with broader marketing objectives.",Content Calendar (90 day),chat gpt,
78,Seed 1.5,Marketing,"Produce a Launch Goals document, organized with sections for primary goals, target audience, and measurement. Start with an Introduction to emphasize goal-setting's role in launch planning. List Primary Launch Goals with specific objectives. Detail Secondary Goals for comprehensive strategy development. Define the Target Audience for focused efforts. Describe Strategies and Tactics for goal achievement. Include a Milestone Timeline for critical tracking. Conclude with Measurement and Evaluation for success analysis. This document aims to outline specific goals for a product launch, designed for strategic focus, milestone achievement, and measurable outcomes.",Launch Goals,chat gpt,
79,Seed 1.5,Marketing,"Draft a Post-launch Nurturing Campaign document, with sections for campaign objectives, content strategy, and feedback loop. Begin with an Introduction to outline the campaign's purpose. Set clear Campaign Objectives for post-launch engagement. Define the Target Audience for personalized communication. Choose Communication Channels for effective outreach. Develop a Content Strategy to educate and engage users. Implement Engagement Tactics to boost product interaction. Establish a Feedback Loop for continuous improvement. Conclude with Measurement and Optimization for campaign refinement. This document aims to guide the development of a nurturing campaign following a product launch, designed for sustained engagement and actionable feedback.",Post-launch Nurturing Campaign,chat gpt,
80,Seed 1.5,Marketing,"Create a final Minimum Viable Product (MVP) document, structured with sections for feature set, launch strategy, and feedback collection. Start with an Introduction to explain the MVP's strategic role. Define MVP Objectives for targeted testing. Detail the Feature Set focusing on core functionality. Identify the Target Audience for precise outreach. Plan the Launch Strategy for effective market entry. Describe Feedback Collection and Analysis for iterative development. Conclude with Next Steps based on feedback outcomes. This document aims to outline the MVP's development and launch process, designed for product validation and early user engagement.",Minimum Viable Product (final),chat gpt,
81,Seed 1.5,Marketing,"Develop a Launch Plan document, incorporating detailed sections for objectives, marketing strategy, and launch timeline. Begin with an engaging Introduction to set the stage for the launch. Define Objectives with specific goals. Provide a Product/Service Overview to communicate value. Outline a comprehensive Marketing and Promotion Strategy. Describe the Sales Strategy for market entry. Ensure Operational Readiness for a smooth launch. Detail the Launch Timeline for clear execution. Establish Measurement and Evaluation metrics for success assessment. Conclude with a strong Conclusion that reaffirms the launch's importance and the product's future potential. This document aims to outline a strategic approach for a successful market launch, designed for maximum impact and sustainability.",Launch Plan,chat gpt,
82,Seed 1.5,Management,"Produce a Business Operating Model document, with detailed sections for core operations, revenue streams, and technology systems. Begin with an Introduction to articulate the model's purpose. Provide an Overview of Core Operations for operational clarity. Describe the Value Chain to highlight value-adding activities. Analyze Revenue Streams for financial insight. Detail the Cost Structure for expense management. List Key Resources and Partnerships for strategic collaboration. Discuss Technology and Systems supporting operations. Address Operational Challenges and Solutions for problem-solving. This document aims to outline the comprehensive operating model of the business, designed for efficiency, scalability, and value creation.",Business Operating Model,chat gpt,
83,Seed 1.5,Infrastructure,"Draft a Strategic Team document, structured with sections for team composition, objectives, and performance measurement. Begin with an Introduction to establish the team's purpose. Detail Team Composition with member roles and expertise. Define Objectives and Goals for strategic alignment. Establish Operating Principles for team functionality. Outline Key Initiatives for focus areas. Discuss Collaboration and Communication for effective operations. Set Performance Measurement standards for accountability. Include a Review and Adaptation process for continuous improvement. This document aims to provide a comprehensive framework for the strategic team’s operation, designed for impactful execution and adaptive strategy.",Strategic Team,chat gpt,
84,Seed 1.5,Infrastructure,"Create a Pitch Deck document utilizing the structured insights from our previous discussions. Format the sections for problem statement, market analysis, and financial projections. Begin with an Introduction to the company and pitch purpose. Present a clear Problem Statement. Describe the Solution and its unique value. Conduct a Market Analysis for market insights. Explain the Business Model for revenue generation. Detail the Competitive Analysis for market positioning. Outline the Marketing and Sales Strategy for growth plans. Provide Financial Projections for fiscal outlook. Highlight the Team and their contributions. Specify the Funding Request with requirements. Conclude with a final appeal in the Conclusion. This document aims to serve as a compelling presentation to potential investors, designed for clarity, persuasion, and strategic insight.",Pitch Deck,chat gpt,
85,Seed 1.5,Marketing,"Produce a document outlining Website Landing Pages, structured with sections for objectives, content/design elements, and performance tracking. Begin with an Introduction to emphasize landing pages' strategic importance. Define Objective of Each Page for specific aims. Identify the Target Audience for tailored content. Describe Content and Design Elements for visitor engagement. Implement an SEO Strategy for visibility. Focus on Conversion Optimization for higher conversion rates. Establish Performance Tracking for measuring success. Conclude with a Review and Iteration Process for ongoing improvement. This document aims to guide the development and optimization of landing pages, designed for effective conversion and user engagement.",Website Landing Pages,chat gpt,
86,Seed 1.5,Marketing,"Draft a Single Launch Channel document, with sections for channel selection, strategy, and measurement. Begin with an Introduction to explain the focus on one channel. Detail the Channel Selection process for strategic alignment. Develop a Channel Strategy for impactful launch execution. Plan Target Audience Engagement for effective communication. Describe Supporting Activities to augment the launch. Establish Measurement and Analysis for success evaluation. Conclude with Adjustments and Optimization for continual improvement. This document aims to provide a focused approach to product launching, designed for concentrated impact and strategic depth.",Single Launch Channel,chat gpt,
87,Seed 1.5,Infrastructure,"Utilizing the structured insights from our previous discussions create a Comprehensive Business Plan document, formatted with sections for market analysis, operations plan, and financial projections. Begin with an Executive Summary for a high-level overview. Provide a Business Description to outline the concept and value. Conduct a Market Analysis for strategic insight. Detail a Marketing Strategy for market engagement. Describe the Operations Plan for business functionality. Highlight the Management Team for operational leadership. Offer a Financial Plan for fiscal outlook. Include a Risk Analysis for contingency planning. Add Appendices for supplementary information. This document aims to present a detailed blueprint for business development and management, designed for thorough planning and strategic execution.",Comprehensive Business Plan,chat gpt,
88,Seed 1.5,Infrastructure,"Draft a Growth Strategy Map document, structured with sections for market expansion, operational efficiency, and financial management. Begin with an Introduction to emphasize strategic growth planning. Outline Market Expansion strategies for new opportunities. Describe Customer Acquisition tactics for expanding the customer base. Detail Product Development plans for innovation. Focus on Operational Efficiency for process improvement. Highlight Human Resources strategies for team development. Discuss Financial Management for fiscal sustainability. Conclude with Measurement and KPIs for performance tracking. This document aims to provide a comprehensive roadmap for business growth, designed for strategic execution and scalability.",Growth Strategy Map,chat gpt,
